"";"lecture";"hide_transcript";"load_video";"page_close";"pause_video";"play_video";"problem_check";"problem_graded";"problem_save";"seek_video";"seq_goto";"seq_next";"seq_prev";"show_transcript";"stop_video"
"1";"09baac939163463e8a51b17249cf3957/";0;0;285;0;0;3;3;0;0;21;45;5;0;0
"2";"13397f2087024a41b4ffcf5f582a4584/";0;0;616;0;0;0;0;0;0;1;0;0;0;0
"3";"137d3c0f79924f24bf0339cc236a1892/";0;0;676;0;0;0;0;0;0;0;0;0;0;0
"4";"14d28e193aa54a8dacd396b94045f05b/";0;0;391;0;0;166;0;152;0;3;0;0;0;0
"5";"153094f69f9b4a3aa9c0f1f6d710dbfe/";0;0;271;0;0;0;0;0;0;2;0;0;0;0
"6";"17f34919487c41eda5c1ee54a97c04c4/";0;0;550;0;0;7;7;0;0;27;58;2;0;0
"7";"1b7fe71021704354800039611a002501/";0;3726;1247;4625;9932;0;0;0;7411;2207;477;62;0;364
"8";"258092142c5b40ec82850a75bf115baa/";0;0;392;0;0;0;0;0;0;2;0;0;0;0
"9";"27617d1d1f294ddb9608b0dd56a3510e/";0;4599;1685;7423;14927;0;0;0;10274;2534;586;29;0;341
"10";"286772dbfb7b4e56a171719e521e83c1/";0;0;95;0;0;0;0;0;0;0;0;0;0;0
"11";"316f4690051548c483aabd904effe80c/";0;0;348;0;0;3;3;0;0;12;53;1;0;0
"12";"3866f151f23a4ab98cf427d8f953d4fc/";0;0;152;0;0;0;0;0;0;0;0;0;0;0
"13";"47ea6bbc78e143d1995cafacf1ef4217/";0;0;1335;0;0;1150;1140;318;0;161;372;12;0;0
"14";"58704e50c3bf411e9fd17c34be4dd1af/";0;0;506;0;0;0;0;0;0;1;0;0;0;0
"15";"5e1b4a93111040eeb2f3f370ddffd994/";0;0;360;0;0;0;0;0;0;0;0;0;0;0
"16";"63df123193a147c7b273d7557f0f1367/";0;0;515;0;0;4;4;0;0;66;85;4;0;0
"17";"704b8b580d1f422bbff063b85216e09f/";0;0;113;0;0;0;0;0;0;0;0;0;0;0
"18";"805632036a7843bdb940d6c45c675481/";0;0;79;0;0;0;0;0;0;0;0;0;0;0
"19";"82b9471b922c4cba9f25568354bb6793/";0;539;498;43;103;0;0;0;42;3;0;0;0;25
"20";"84da71363b2e4dbfa21b4c683328fce9/";0;0;1310;0;0;1082;1079;312;0;155;332;9;0;0
"21";"85a895dc0ed04f699b3ff05194e99a7d/";0;1445;686;1692;3440;0;0;0;2318;740;130;9;0;111
"22";"87b72e8ebcd84a86836bc717187dabe6/";0;3693;1335;4742;7458;0;0;0;3042;1938;543;29;0;264
"23";"8801db178b994cd4aaf4062903d6b9ed/";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"24";"88c6fd8d4eb24aa8a993f36f328605be/";0;0;1240;0;0;1126;1115;235;0;146;268;14;0;0
"25";"9185492b92034f18a3ea8ae864b64103/";0;1300;599;1135;2541;0;0;0;1690;668;157;14;0;83
"26";"9c9ee5c5992545a4ad84d8cd37588b25/";0;0;1;0;0;0;0;0;0;0;0;0;0;0
"27";"9f48bfaf1796496ca062898112adb9aa/";0;0;184;0;0;0;0;0;0;0;0;0;0;0
"28";"a42ddcf32e674717b38c22e7eccccd50/";0;1361;719;1408;3243;0;0;0;2687;674;140;11;0;82
"29";"a472c8fe107a47a4b48f272548d409c3/";0;0;220;0;0;0;0;0;0;0;0;0;0;0
"30";"a84d73f25c404e43aacd5d44b3b6bddf/";0;0;3;0;0;0;0;0;0;0;0;0;0;0
"31";"ad18a7e08fbc4c77b433f358d8dda830/";0;0;77;0;0;0;0;0;0;0;0;0;0;0
"32";"b02c2230de014f119879eecd735bbc8a/";0;0;312;0;0;0;0;0;0;12;34;2;0;0
"33";"b9139af2e93647a584b6adf6039e7246/";0;0;88;0;0;0;0;0;0;0;0;0;0;0
"34";"b99742deb2714138a76ff070e83e0556/";0;0;280;0;0;0;0;0;0;3;0;0;0;0
"35";"bbba55922739467296632693fcf15cb4/";0;4099;1453;7442;13934;0;0;0;10755;2414;551;41;0;299
"36";"bdc33026375140f58ddf18936226c359/";0;0;540;0;0;0;0;0;0;5;0;0;0;0
"37";"c05e5d256e0b47bc975449304c3160e6/";0;0;125;0;0;0;0;0;0;0;0;0;0;0
"38";"c2a0f2eda79f408ca79a1d6230cdb4a8/";0;0;299;0;0;4;4;0;0;13;47;1;0;0
"39";"c88bb98653d743939b5f075f8642d663/";0;0;1214;0;0;875;873;179;0;118;311;14;0;0
"40";"cd3c37d8d51b4dc29504c4f092ba3142/";0;0;225;0;0;0;0;0;0;2;0;0;0;0
"41";"cf2804411fed49cdb4b9459dc4846e46/";0;0;1664;0;0;631;630;109;0;214;301;15;0;0
"42";"e14b61c5bb6848128eb3cd7d7c6ab781/";15;1969;1222;1848;3849;0;0;0;2535;769;244;34;36;151
"43";"e4ae953910864f92a84290d71ffa4a49/";0;0;210;0;0;0;0;0;0;0;0;0;0;0
"44";"e9ff7d309f544f5a852f801e80bd6226/";6;1786;862;1775;4110;0;0;0;3162;842;177;18;14;150
"45";"ea22294a1f09490284cb22f25f1ee845/";0;0;150;0;0;0;0;0;0;0;0;0;0;0
"46";"eddaa86381644dcb93f8f72805fe2d77/";0;0;555;0;0;0;0;0;0;1;0;0;0;0
"47";"f7738727fcb546728ebfc6eaa4cf50fb/";0;0;304;0;0;0;0;0;0;0;0;0;0;0
"48";"fbfbff60d3f84a86adef5a0393582c52/";0;0;150;0;0;0;0;0;0;0;0;0;0;0
"49";"ff89241358514a01b2a23b78d3ac0f98/";0;1631;671;1606;3634;0;0;0;2626;837;257;9;0;82
"50";"ffa18241c8274e32a1e8a4a7a7f34c7e/";0;3548;1322;5482;11072;0;0;0;7624;1857;508;34;0;302
